# File: ldGDPchange.csv
# Title: Long term GDP changes for countries and regions in each RCP
# Units: Percent
# Comments: Added ISO3
# Source: Table 2 from Kompas T.; Pham V. H.; Che T. N. (2018). The Effects of Climate Change on GDP by Country and the Global Economic Gains From Complying With the Paris Climate Accord. Earth's Future; 6(8); 1153-1173. https://doi.org/10.1029/2018EF000922
# Column types: ccnnnn
# ----------
country, iso,1C,2C,3C,4C
Rest of Southeast Asia,-,-3.811,-8.11,-12.924,-18.573
Rest of the World,-,-0.587,-1.227,-1.918,-2.671
Rest of Western Africa,-,-4.432,-9.769,-15.566,-21.938
Rest of Western Asia,-,-0.829,-1.879,-3.306,-4.985
Romania,rou,-0.171,-0.329,-0.483,-0.754
Russian Federation,rus,-0.266,-0.568,-0.936,-1.405
Rwanda,rwa,-2.107,-4.49,-7.047,-9.819
Saudi Arabia,sau,-1.65,-3.457,-5.449,-7.773
Senegal,sen,-3.859,-8.189,-13.001,-18.544
Singapore,sgp,-2.729,-6.923,-11.652,-16.566
Slovakia,svk,-0.129,-0.285,-0.47,-0.706
Slovenia,svn,-0.139,-0.31,-0.512,-0.764
South Africa,zaf,-0.74,-1.57,-2.464,-3.433
South Central Africa,-,-0.961,-2.066,-3.32,-4.894
South Korea,kor,-0.211,-0.731,-1.498,-2.666
Spain,esp,-0.147,-0.341,-0.575,-0.871
Sri Lanka,lka,-2.989,-6.941,-11.716,-17.437
Sweden,swe,-0.095,-0.211,-0.349,-0.516
Switzerland,che,-0.094,-0.214,-0.355,-0.522
Taiwan,twn,-1.597,-3.56,-5.978,-8.552
Tanzania,tza,-1.546,-4.13,-6.988,-10.825
Thailand,tha,-2.541,-5.749,-9.243,-13.269
Togo,tgo,-5.597,-12.221,-19.032,-26.556
Trinidad and Tobago,tto,-1.69,-4.15,-7.357,-10.905
Tunisia,tun,-0.871,-1.836,-3.052,-4.609
Turkey,tur,-0.342,-0.842,-1.54,-2.479
Uganda,uga,-1.743,-3.652,-6.328,-10.404
Ukraine,ukr,-0.153,-0.219,-0.25,-0.382
United Arab Emirates,are,-2.207,-4.799,-7.684,-10.976
United Kingdom,gbr,-0.122,-0.26,-0.422,-0.613
United States of America,usa,-0.182,-0.392,-0.622,-0.885
Uruguay,ury,-0.471,-1.023,-1.776,-2.785
Venezuela,ven,-0.649,-1.794,-3.614,-6.339
Vietnam,vnm,-2.223,-4.862,-7.959,-11.641
Zambia,zmb,-1.097,-2.616,-4.414,-6.72
Zimbabwe,zwe,-1.261,-2.726,-4.423,-6.502
