iso,GCAM_region_ID,year,scenario,temp_change,gdp
dza,3,2020,SSP1,2C,126948.2438
dza,3,2020,SSP1,3C,126948.2438
dza,3,2020,SSP1,4C,126948.2438
ecu,26,2020,SSP1,1C,70073.78742
ecu,26,2020,SSP1,2C,70073.78742
ecu,26,2020,SSP1,3C,70073.78742
ecu,26,2020,SSP1,4C,70073.78742
egy,3,2020,SSP1,1C,239058.574
egy,3,2020,SSP1,2C,239058.574
egy,3,2020,SSP1,3C,239058.574
egy,3,2020,SSP1,4C,239058.574
eri,2,2020,SSP1,1C,1389.343279
eri,2,2020,SSP1,2C,1425.236098
eri,2,2020,SSP1,3C,1470.802835
eri,2,2020,SSP1,4C,1522.002486
esp,13,2020,SSP1,1C,1159996.325
esp,13,2020,SSP1,2C,1159996.325
esp,13,2020,SSP1,3C,1159996.325
esp,13,2020,SSP1,4C,1159996.325
est,12,2020,SSP1,1C,16372.19882
est,12,2020,SSP1,2C,16372.19882
est,12,2020,SSP1,3C,16372.19882
est,12,2020,SSP1,4C,16372.19882
eth,2,2020,SSP1,1C,57363.8158
eth,2,2020,SSP1,2C,58701.86558
eth,2,2020,SSP1,3C,60090.59906
eth,2,2020,SSP1,4C,61617.868
fin,13,2020,SSP1,1C,174170.1313
fin,13,2020,SSP1,2C,174170.1313
fin,13,2020,SSP1,3C,174170.1313
fin,13,2020,SSP1,4C,174170.1313
fji,29,2020,SSP1,1C,1856.577088
fji,29,2020,SSP1,2C,1856.577088
fji,29,2020,SSP1,3C,1856.577088
fji,29,2020,SSP1,4C,1856.577088
fra,13,2020,SSP1,1C,1862399.76
fra,13,2020,SSP1,2C,1862399.76
fra,13,2020,SSP1,3C,1862399.76
fra,13,2020,SSP1,4C,1862399.76
gab,5,2020,SSP1,1C,15852.57739
gab,5,2020,SSP1,2C,15852.57739
gab,5,2020,SSP1,3C,15852.57739
gab,5,2020,SSP1,4C,15852.57739
gbr,13,2020,SSP1,1C,2060830.178
gbr,13,2020,SSP1,2C,2058530.786
gbr,13,2020,SSP1,3C,2055714.15
gbr,13,2020,SSP1,4C,2052386.125
geo,10,2020,SSP1,1C,15270.32087
geo,10,2020,SSP1,2C,15270.32087
geo,10,2020,SSP1,3C,15270.32087
geo,10,2020,SSP1,4C,15270.32087
gha,5,2020,SSP1,1C,44201.95643
gha,5,2020,SSP1,2C,44201.95643
gha,5,2020,SSP1,3C,44201.95643
gha,5,2020,SSP1,4C,44201.95643
gin,5,2020,SSP1,1C,14826.5206
gin,5,2020,SSP1,2C,14826.5206
gin,5,2020,SSP1,3C,14826.5206
gin,5,2020,SSP1,4C,14826.5206
gmb,5,2020,SSP1,1C,3003.496233
gmb,5,2020,SSP1,2C,3003.496233
gmb,5,2020,SSP1,3C,3003.496233
gmb,5,2020,SSP1,4C,3003.496233
gnb,5,2020,SSP1,1C,1414.248274
gnb,5,2020,SSP1,2C,1414.248274
gnb,5,2020,SSP1,3C,1414.248274
gnb,5,2020,SSP1,4C,1414.248274
gnq,5,2020,SSP1,1C,15804.1247
gnq,5,2020,SSP1,2C,15804.1247
gnq,5,2020,SSP1,3C,15804.1247
gnq,5,2020,SSP1,4C,15804.1247
grc,13,2020,SSP1,1C,241671.7481
grc,13,2020,SSP1,2C,241671.7481
grc,13,2020,SSP1,3C,241671.7481
grc,13,2020,SSP1,4C,241671.7481
gtm,9,2020,SSP1,1C,40317.8353
gtm,9,2020,SSP1,2C,40661.77854
gtm,9,2020,SSP1,3C,41160.27602
gtm,9,2020,SSP1,4C,41854.96929
guy,25,2020,SSP1,1C,1907.233584
guy,25,2020,SSP1,2C,1907.233584
guy,25,2020,SSP1,3C,1907.233584
guy,25,2020,SSP1,4C,1907.233584
hkg,11,2020,SSP1,1C,179444.688
hkg,11,2020,SSP1,2C,179444.688
hkg,11,2020,SSP1,3C,179444.688
hkg,11,2020,SSP1,4C,179444.688
hnd,9,2020,SSP1,1C,18258.01426
hnd,9,2020,SSP1,2C,18922.75943
hnd,9,2020,SSP1,3C,19746.18342
hnd,9,2020,SSP1,4C,20704.83089
hrv,15,2020,SSP1,1C,48214.65774
hrv,15,2020,SSP1,2C,48214.65774
hrv,15,2020,SSP1,3C,48214.65774
hrv,15,2020,SSP1,4C,48214.65774
hti,9,2020,SSP1,1C,8194.097862
hti,9,2020,SSP1,2C,8459.519659
hti,9,2020,SSP1,3C,8850.868861
hti,9,2020,SSP1,4C,9293.023814
hun,12,2020,SSP1,1C,96638.46909
hun,12,2020,SSP1,2C,96638.46909
hun,12,2020,SSP1,3C,96638.46909
