scenario,region,sector,year,value,value_ref,prices_bysector_change
3CgSSP2,Africa_Western,AfrCstNW_desalinated water,2100,0.842601,0.840701,0.22600187224709056
3CgSSP2,Africa_Western,AfrCstW_desalinated water,2100,0.842601,0.840701,0.22600187224709056
3CgSSP2,Africa_Western,AfrIntN_desalinated water,2100,0.842601,0.840701,0.22600187224709056
3CgSSP2,Africa_Western,GuineaGulf_desalinated water,2100,0.842601,0.840701,0.22600187224709056
3CgSSP2,Africa_Western,LChad_desalinated water,2100,0.842601,0.840701,0.22600187224709056
3CgSSP2,Africa_Western,NigerR_desalinated water,2100,0.842601,0.840701,0.22600187224709056
3CgSSP2,Africa_Western,desalinated water,2100,0.842601,0.840701,0.22600187224709056
3CgSSP2,Africa_Western,biomass,2100,1.48787,1.48437,0.23579026792511695
3CgSSP2,Africa_Western,H2 liquid truck,2100,11.2732,11.2465,0.23740719334904145
3CgSSP2,Africa_Western,refined liquids enduse,2100,7.14534,7.12746,0.25086075544443454
3CgSSP2,Africa_Western,FoodDemand_NonStaples,2100,0.275139,0.274443,0.25360457362732153
3CgSSP2,Africa_Western,FeedCrops,2100,0.113085,0.112789,0.2624369397724996
3CgSSP2,Africa_Western,H2 retail delivery,2100,9.8364,9.81009,0.2681932581658142
3CgSSP2,Africa_Western,other industry,2100,33.8101,33.7183,0.27225571870467735
3CgSSP2,Africa_Western,regional vegetables,2100,0.184998,0.184481,0.28024566215490465
3CgSSP2,Africa_Western,regional oilpalm,2100,0.0358699,0.0357673,0.2868541936349719
3CgSSP2,Africa_Western,regional root_tuber,2100,0.101225,0.100935,0.2873136176747398
3CgSSP2,Africa_Western,RootTuber,2100,0.101347,0.10105600000000001,0.28795915136162087
3CgSSP2,Africa_Western,N fertilizer,2100,0.281201,0.280381,0.29245918946005167
3CgSSP2,Africa_Western,construction feedstocks,2100,6.04534,6.02746,0.2966423667681044
3CgSSP2,Africa_Western,other industrial feedstocks,2100,6.04534,6.02746,0.2966423667681044
3CgSSP2,Africa_Western,refined liquids industrial,2100,6.04534,6.02746,0.2966423667681044
3CgSSP2,Africa_Western,refining,2100,6.04534,6.02746,0.2966423667681044
3CgSSP2,Africa_Western,nuclearFuelGenII,2100,0.455413,0.454047,0.3008499120135215
3CgSSP2,Africa_Western,nuclearFuelGenIII,2100,0.455413,0.454047,0.3008499120135215
3CgSSP2,Africa_Western,elec_refined liquids (CC),2100,9.01833,8.9907,0.3073175614801991
3CgSSP2,Africa_Western,H2 wholesale delivery,2100,8.5864,8.56009,0.307356581531254
3CgSSP2,Africa_Western,Vegetables,2100,0.187014,0.18644,0.3078738468139986
3CgSSP2,Africa_Western,H2 industrial,2100,9.6031,9.57359,0.3082438249392354
3CgSSP2,Africa_Western,elec_refined liquids (steam/CT),2100,13.2161,13.1752,0.31043172020159543
3CgSSP2,Africa_Western,regional rice,2100,0.132582,0.132168,0.31323769747593794
3CgSSP2,Africa_Western,H2 pipeline,2100,7.72264,7.69845,0.31421909605180176
