scenario,subRegion,region,param,class,x,value,units
scenario,Mexico,region,param,class,2050,717.3453633,units
scenario,Mexico,region,param,class,2070,899.7634182,units
scenario,Mexico,region,param,class,2100,1101.402357,units
scenario,Middle East,region,param,class,2015,2152.642049,units
scenario,Middle East,region,param,class,2020,2149.568636,units
scenario,Middle East,region,param,class,2050,2834.361561,units
scenario,Middle East,region,param,class,2070,3684.269942,units
scenario,Middle East,region,param,class,2100,4537.960378,units
scenario,Pakistan,region,param,class,2015,177.9610709,units
scenario,Pakistan,region,param,class,2020,216.5419256,units
scenario,Pakistan,region,param,class,2050,522.4189212,units
scenario,Pakistan,region,param,class,2070,797.603731,units
scenario,Pakistan,region,param,class,2100,1160.108661,units
scenario,Russia,region,param,class,2015,1793.237374,units
scenario,Russia,region,param,class,2020,1924.011467,units
scenario,Russia,region,param,class,2050,1703.975777,units
scenario,Russia,region,param,class,2070,1692.214009,units
scenario,Russia,region,param,class,2100,1694.325326,units
scenario,South Africa,region,param,class,2015,529.3791319,units
scenario,South Africa,region,param,class,2020,516.9346937,units
scenario,South Africa,region,param,class,2050,586.2753115,units
scenario,South Africa,region,param,class,2070,637.6264346,units
scenario,South Africa,region,param,class,2100,600.4492658,units
scenario,South America_Northern,region,param,class,2015,179.4446101,units
scenario,South America_Northern,region,param,class,2020,113.8925397,units
scenario,South America_Northern,region,param,class,2050,149.4617985,units
scenario,South America_Northern,region,param,class,2070,185.4375482,units
scenario,South America_Northern,region,param,class,2100,257.666671,units
scenario,South America_Southern,region,param,class,2015,227.7519638,units
scenario,South America_Southern,region,param,class,2020,248.3810416,units
scenario,South America_Southern,region,param,class,2050,415.366497,units
scenario,South America_Southern,region,param,class,2070,538.1393109,units
scenario,South America_Southern,region,param,class,2100,609.9831207,units
scenario,South Asia,region,param,class,2015,133.7328034,units
scenario,South Asia,region,param,class,2020,183.7743939,units
scenario,South Asia,region,param,class,2050,521.1110943,units
scenario,South Asia,region,param,class,2070,855.4818194,units
scenario,South Asia,region,param,class,2100,1276.863769,units
scenario,South Korea,region,param,class,2015,665.443602,units
scenario,South Korea,region,param,class,2020,692.9115507,units
scenario,South Korea,region,param,class,2050,558.3179483,units
scenario,South Korea,region,param,class,2070,456.8685009,units
scenario,South Korea,region,param,class,2100,340.5893615,units
scenario,Southeast Asia,region,param,class,2015,1197.877843,units
scenario,Southeast Asia,region,param,class,2020,1428.280757,units
scenario,Southeast Asia,region,param,class,2050,2416.944283,units
scenario,Southeast Asia,region,param,class,2070,3108.84972,units
scenario,Southeast Asia,region,param,class,2100,3570.30715,units
scenario,Taiwan,region,param,class,2015,286.7870987,units
scenario,Taiwan,region,param,class,2020,302.9943492,units
scenario,Taiwan,region,param,class,2050,279.0430364,units
scenario,Taiwan,region,param,class,2070,267.9169618,units
scenario,Taiwan,region,param,class,2100,238.3893747,units
scenario,USA,region,param,class,2015,5269.640434,units
scenario,USA,region,param,class,2020,5328.350958,units
scenario,USA,region,param,class,2050,5255.666655,units
scenario,USA,region,param,class,2070,5625.966858,units
scenario,USA,region,param,class,2100,5928.075926,units
